achartengine-1.2.0,org/achartengine
acra-4.5.0,org/acra
acra-4.6.2,org/acra
androidannotations-api-2.7,com/googlecode/androidannotations
androidannotations-api-3.2,org/androidannotations
androidannotations-api-3.3.2,org/androidannotations
android-async-http-1.4.9,com/loopj/android/http
android-integration-3.2.1,com/google/zxing/integration/android
android-json-rpc-0.3.4,org/alexd/jsonrpc
android-retention-magic-1.2.2,org/dmfs/android/retentionmagic
android-xml-magic-0.1.1,org/dmfs/android/xmlmagic
annotations-java5-15.0,org/intellij/lang/annotations
apache-mime4j-core-0.7.2,org/apache/james/mime4j
apktool-lib-1.4.4-3,brut
butterknife-6.0.0,butterknife
butterknife-7.0.0,butterknife
butterknife-7.0.1,butterknife
butterknife-annotations-8.0.1,butterknife
cat.ereza.customactivityoncrash.1.4.0,cat/ereza/customactivityoncrash
ch.acra.acra.4.9.0,org/acra
com.actionbarsherlock.actionbarsherlock.4.4.0,com/actionbarsherlock
com.afollestad.material-dialogs.core.0.8.5.1,com/afollestad/materialdialogs
com.afollestad.material-dialogs.v0.7.7.0,com/afollestad/materialdialogs
com.amulyakhare.com.amulyakhare.textdrawable.1.0.1,com/amulyakhare/textdrawable
com.android.support.animated-vector-drawable.23.2.0,android/support/animated/graphics/drawable
com.android.support.animated-vector-drawable.23.2.1,android/support/animated/graphics/drawable
com.android.support.animated-vector-drawable.23.3.0,android/support/animated/graphics/drawable
com.android.support.animated-vector-drawable.23.4.0,android/support/animated/graphics/drawable
com.android.support.animated-vector-drawable.24.0.0,android/support/animated/graphics/drawable
com.android.support.animated-vector-drawable.24.0.0-beta1,android/support/animated/graphics/drawable
com.android.support.appcompat-v7.20.0.0,android/support/appcompat/v7
com.android.support.appcompat-v7.21.0.0,android/support/appcompat/v7
com.android.support.appcompat-v7.21.0.2,android/support/appcompat/v7
com.android.support.appcompat-v7.21.0.3,android/support/appcompat/v7
com.android.support.appcompat-v7.22.0.0,android/support/appcompat/v7
com.android.support.appcompat-v7.22.1.1,android/support/appcompat/v7
com.android.support.appcompat-v7.22.2.0,android/support/appcompat/v7
com.android.support.appcompat-v7.22.2.1,android/support/appcompat/v7
com.android.support.appcompat-v7.23.0.0,android/support/appcompat/v7
com.android.support.appcompat-v7.23.0.1,android/support/appcompat/v7
com.android.support.appcompat-v7.23.1.0,android/support/appcompat/v7
com.android.support.appcompat-v7.23.1.1,android/support/appcompat/v7
com.android.support.appcompat-v7.23.2.0,android/support/appcompat/v7
com.android.support.appcompat-v7.23.2.1,android/support/appcompat/v7
com.android.support.appcompat-v7.23.3.0,android/support/appcompat/v7
com.android.support.appcompat-v7.23.4.0,android/support/appcompat/v7
com.android.support.appcompat-v7.24.0.0,android/support/appcompat/v7
com.android.support.appcompat-v7.24.0.0-beta1,android/support/appcompat/v7
com.android.support.cardview-v7.21.0.2,android/support/v7/widget
com.android.support.cardview-v7.21.0.3,android/support/v7/widget
com.android.support.cardview-v7.22.2.0,android/support/v7/widget
